f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,band gap,label
3.183403E+00,0.000000E+00,0.000000E+00,-1.591702E+00,2.756908E+00,0.000000E+00,0.000000E+00,1.000000E-16,3.439579E+01,3.333330E-01,6.666670E-01,2.661230E-01,6.666670E-01,3.333330E-01,3.316626E-01,3.333330E-01,6.666670E-01,3.638814E-01,6.666670E-01,3.333330E-01,2.426071E-01,0.000000E+00,0.000000E+00,3.011288E-01,2.400000E+01,2.400000E+01,7.000000E+00,9.000000E+00,1.000000E+00,0.000000E+00,0
2.869244E+00,0.000000E+00,0.000000E+00,-1.434622E+00,2.484838E+00,0.000000E+00,0.000000E+00,-4.000000E-16,4.234026E+01,3.333330E-01,6.666670E-01,2.743504E-01,6.666670E-01,3.333330E-01,3.278107E-01,3.333330E-01,6.666670E-01,3.502117E-01,6.666670E-01,3.333330E-01,2.519495E-01,0.000000E+00,0.000000E+00,3.010806E-01,2.400000E+01,2.400000E+01,7.000000E+00,1.000000E+00,1.000000E+00,0.000000E+00,0
3.154881E+00,1.000000E-16,0.000000E+00,-1.577440E+00,2.732207E+00,0.000000E+00,-4.000000E-16,-7.000000E-16,3.502053E+01,6.666670E-01,3.333330E-01,2.225032E-01,3.333330E-01,6.666670E-01,2.743613E-01,6.666670E-01,3.333330E-01,3.428674E-01,0.000000E+00,0.000000E+00,3.017181E-01,3.333330E-01,6.666670E-01,3.639531E-01,2.400000E+01,2.400000E+01,7.000000E+00,8.000000E+00,3.500000E+01,2.460000E-01,1
3.118837E+00,0.000000E+00,0.000000E+00,-1.559419E+00,2.700992E+00,-1.000000E-16,-3.000000E-16,8.000000E-16,3.583466E+01,6.666670E-01,3.333330E-01,2.275792E-01,3.333330E-01,6.666670E-01,2.734306E-01,6.666670E-01,3.333330E-01,3.412560E-01,0.000000E+00,0.000000E+00,3.007711E-01,3.333330E-01,6.666670E-01,3.623660E-01,2.400000E+01,2.400000E+01,7.000000E+00,8.000000E+00,1.700000E+01,4.110000E-01,1
3.172090E+00,0.000000E+00,0.000000E+00,-1.586045E+00,2.747110E+00,0.000000E+00,1.000000E-16,-4.000000E-16,3.464159E+01,3.333330E-01,6.666670E-01,2.700069E-01,6.666670E-01,3.333330E-01,3.394375E-01,6.666670E-01,3.333330E-01,2.374248E-01,0.000000E+00,0.000000E+00,2.978995E-01,3.333330E-01,6.666670E-01,3.606342E-01,2.400000E+01,2.400000E+01,7.000000E+00,8.000000E+00,9.000000E+00,3.840000E-01,1
3.079380E+00,0.000000E+00,0.000000E+00,-1.539690E+00,2.666822E+00,-1.000000E-16,-2.000000E-16,5.000000E-16,3.675885E+01,3.333330E-01,6.666670E-01,2.580670E-01,6.666670E-01,3.333330E-01,3.793766E-01,6.666670E-01,3.333330E-01,2.298754E-01,0.000000E+00,0.000000E+00,2.741006E-01,3.333330E-01,6.666670E-01,3.639834E-01,2.400000E+01,2.400000E+01,7.000000E+00,8.000000E+00,1.000000E+00,0.000000E+00,0
3.044285E+00,0.000000E+00,0.000000E+00,-1.522143E+00,2.636428E+00,0.000000E+00,-1.000000E-16,-6.000000E-16,3.761127E+01,3.333330E-01,6.666670E-01,2.676802E-01,6.666670E-01,3.333330E-01,3.344810E-01,0.000000E+00,0.000000E+00,3.010806E-01,3.333330E-01,6.666670E-01,3.560856E-01,6.666670E-01,3.333330E-01,2.460756E-01,2.400000E+01,2.400000E+01,7.000000E+00,8.000000E+00,8.000000E+00,0.000000E+00,0
3.272950E+00,0.000000E+00,0.000000E+00,-1.636475E+00,2.834458E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.253942E+01,3.333330E-01,6.666670E-01,3.831282E-01,0.000000E+00,0.000000E+00,3.005143E-01,6.666670E-01,3.333330E-01,3.285356E-01,6.666670E-01,3.333330E-01,2.306307E-01,3.333330E-01,6.666670E-01,2.625941E-01,2.400000E+01,7.200000E+01,6.000000E+00,3.500000E+01,1.000000E+00,0.000000E+00,0
3.359541E+00,0.000000E+00,0.000000E+00,-1.679771E+00,2.909448E+00,0.000000E+00,0.000000E+00,0.000000E+00,3.088365E+01,6.666670E-01,3.333330E-01,2.053046E-01,0.000000E+00,0.000000E+00,3.067189E-01,3.333330E-01,6.666670E-01,3.873440E-01,6.666670E-01,3.333330E-01,3.366961E-01,3.333330E-01,6.666670E-01,2.693394E-01,2.400000E+01,7.200000E+01,6.000000E+00,1.700000E+01,3.500000E+01,0.000000E+00,0
3.231458E+00,0.000000E+00,0.000000E+00,-1.615729E+00,2.798525E+00,0.000000E+00,1.000000E-16,1.000000E-16,3.338040E+01,0.000000E+00,0.000000E+00,3.016606E-01,3.333330E-01,6.666670E-01,3.777300E-01,6.666670E-01,3.333330E-01,3.292522E-01,6.666670E-01,3.333330E-01,2.326356E-01,3.333330E-01,6.666670E-01,2.641245E-01,2.400000E+01,7.200000E+01,6.000000E+00,1.700000E+01,1.000000E+00,0.000000E+00,0
3.346897E+00,1.000000E-16,0.000000E+00,-1.673448E+00,2.898498E+00,0.000000E+00,-1.000000E-16,-3.000000E-16,3.111745E+01,6.666670E-01,3.333330E-01,2.082895E-01,0.000000E+00,0.000000E+00,3.097589E-01,6.666670E-01,3.333330E-01,3.394683E-01,3.333330E-01,6.666670E-01,3.758687E-01,3.333330E-01,6.666670E-01,2.720175E-01,2.400000E+01,7.200000E+01,6.000000E+00,9.000000E+00,3.500000E+01,0.000000E+00,0
3.306338E+00,0.000000E+00,0.000000E+00,-1.653169E+00,2.863373E+00,0.000000E+00,0.000000E+00,1.000000E-16,3.188556E+01,0.000000E+00,0.000000E+00,3.088061E-01,6.666670E-01,3.333330E-01,2.146381E-01,6.666670E-01,3.333330E-01,3.375839E-01,3.333330E-01,6.666670E-01,3.729209E-01,3.333330E-01,6.666670E-01,2.714540E-01,2.400000E+01,7.200000E+01,6.000000E+00,9.000000E+00,1.700000E+01,0.000000E+00,0
3.244514E+00,0.000000E+00,0.000000E+00,-1.622257E+00,2.809831E+00,0.000000E+00,-1.000000E-16,2.000000E-16,3.311231E+01,0.000000E+00,0.000000E+00,3.044078E-01,6.666670E-01,3.333330E-01,3.323290E-01,3.333330E-01,6.666670E-01,3.665301E-01,6.666670E-01,3.333330E-01,2.355538E-01,3.333330E-01,6.666670E-01,2.665822E-01,2.400000E+01,7.200000E+01,6.000000E+00,9.000000E+00,1.000000E+00,0.000000E+00,0
3.330637E+00,0.000000E+00,0.000000E+00,-1.665319E+00,2.884416E+00,0.000000E+00,0.000000E+00,-2.000000E-16,3.142201E+01,6.666670E-01,3.333330E-01,2.099548E-01,0.000000E+00,0.000000E+00,3.056784E-01,6.666670E-01,3.333330E-01,3.462155E-01,3.333330E-01,6.666670E-01,2.743907E-01,3.333330E-01,6.666670E-01,3.691636E-01,2.400000E+01,7.200000E+01,6.000000E+00,8.000000E+00,3.500000E+01,6.300000E-01,1
