nn1,nn2,nn3,nn4,nn5,np1,np2,np3,np4,np5,ne1,ne2,ne3,ne4,ne5,p1,p2,p3,p4,p5,gno1,gno2,gno3,gno4,gno5,ar1,ar2,ar3,ar4,ar5,en1,en2,en3,en4,en5,ie1,ie2,ie3,ie4,ie5,d1,d2,d3,d4,d5,mp1,mp2,mp3,mp4,mp5,bp1,bp2,bp3,bp4,bp5,numiso1,numiso2,numiso3,numiso4,numiso5,shell1,shell2,shell3,shell4,shell5,spheat1,spheat2,spheat3,spheat4,spheat5,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,label
106,110,7,18,0,72,74,7,17,1,72,74,7,17,1,6,6,2,3,1,4,6,15,17,1,2.2,2,0.75,0.97,0.79,1.3,2.36,3.04,3.16,2.2,6.8251,7.864,14.5341,12.9676,13.5984,13.3,19.3,0.00125,0.00321,0.0000899,2500.15,3680.15,63.29,172.31,14.175,4876,5828,77.36,239.11,20.28,17,22,8,11,3,6,6,2,3,1,0.144,0.132,1.04,0.479,14.304,2418.56,1030.16,1030.16,4.24,39.44,0.392536,0.447616,10.05054276,67.35373541,2311795.687,6684979.466,44.56,4.24,30.82361136,0
106,110,7,10,45,72,74,7,9,35,72,74,7,9,35,6,6,2,2,4,4,6,15,17,17,2.2,2,0.75,0.57,1.1,1.3,2.36,3.04,3.98,2.96,6.8251,7.864,14.5341,17.4228,11.8138,13.3,19.3,0.00125,0.0017,3.12,2500.15,3680.15,63.29,53.63,266.05,4876,5828,77.36,85.03,332,17,22,8,6,19,6,6,2,2,4,0.144,0.132,1.04,0.824,0.474,2010.64,850.64,850.64,3.2,31.76,0.434504,0.778656,15.85494718,60.77771462,2251323.166,6556722.19,39.44,3.2,0.13136256,0
106,110,7,10,18,72,74,7,9,17,72,74,7,9,17,6,6,2,2,3,4,6,15,17,17,2.2,2,0.75,0.57,0.97,1.3,2.36,3.04,3.98,3.16,6.8251,7.864,14.5341,17.4228,12.9676,13.3,19.3,0.00125,0.0017,0.00321,2500.15,3680.15,63.29,53.63,172.31,4876,5828,77.36,85.03,239.11,17,22,8,6,11,6,6,2,2,3,0.144,0.132,1.04,0.824,0.479,2241.76,934.16,934.16,3.36,31.76,0.448856,0.803616,16.12417949,67.34953615,2291972.58,6628984.443,34.96,3.36,0.13126896,0
106,110,7,10,10,72,74,7,9,9,72,74,7,9,9,6,6,2,2,2,4,6,15,17,17,2.2,2,0.75,0.57,0.57,1.3,2.36,3.04,3.98,3.98,6.8251,7.864,14.5341,17.4228,17.4228,13.3,19.3,0.00125,0.0017,0.0017,2500.15,3680.15,63.29,53.63,53.63,4876,5828,77.36,85.03,85.03,17,22,8,6,6,6,6,2,2,2,0.144,0.132,1.04,0.824,0.824,2355.04,1004.56,1004.56,3.84,31.76,0.526936,1.039776,21.16204836,67.3534734,2347470.576,6754936.954,42.56,3.84,0.14413056,0
106,110,7,10,0,72,74,7,9,1,72,74,7,9,1,6,6,2,2,1,4,6,15,17,1,2.2,2,0.75,0.57,0.79,1.3,2.36,3.04,3.98,2.2,6.8251,7.864,14.5341,17.4228,13.5984,13.3,19.3,0.00125,0.0017,0.0000899,2500.15,3680.15,63.29,53.63,14.175,4876,5828,77.36,85.03,20.28,17,22,8,6,3,6,6,2,2,1,0.144,0.132,1.04,0.824,14.304,2525.44,1095.44,1095.44,4.64,39.44,0.477656,0.800544,16.45148899,67.35767246,2366919.081,6810133.842,50.96,4.64,30.46442496,0
106,110,7,0,0,72,74,7,1,1,72,74,7,1,1,6,6,2,1,1,4,6,15,1,1,2.2,2,0.75,0.79,0.79,1.3,2.36,3.04,2.2,2.2,6.8251,7.864,14.5341,13.5984,13.5984,13.3,19.3,0.00125,0.0000899,0.0000899,2500.15,3680.15,63.29,14.175,14.175,4876,5828,77.36,20.28,20.28,17,22,8,3,3,6,6,2,1,1,0.144,0.132,1.04,14.304,14.304,2687.84,1181.2,1181.2,5.36,26.64,0.424504,0.30784,10.57084679,67.36187132,2386243.052,6864995.326,58.64,5.36,46.24788736,0
106,110,7,8,45,72,74,7,8,35,72,74,7,8,35,6,6,2,2,4,4,6,15,16,17,2.2,2,0.75,0.65,1.1,1.3,2.36,3.04,3.44,2.96,6.8251,7.864,14.5341,13.6181,11.8138,13.3,19.3,0.00125,0.00143,3.12,2500.15,3680.15,63.29,50.5,266.05,4876,5828,77.36,90.2,332,17,22,8,8,19,6,6,2,2,4,0.144,0.132,1.04,0.918,0.474,2047.76,862.96,862.96,3.2,29.84,0.4114,0.55488,9.449415134,60.77848607,2252901.032,6552270.655,33.36,3.2,0.14410144,0
106,110,7,8,18,72,74,7,8,17,72,74,7,8,17,6,6,2,2,3,4,6,15,16,17,2.2,2,0.75,0.65,0.97,1.3,2.36,3.04,3.44,3.16,6.8251,7.864,14.5341,13.6181,12.9676,13.3,19.3,0.00125,0.00143,0.00321,2500.15,3680.15,63.29,50.5,172.31,4876,5828,77.36,90.2,239.11,17,22,8,8,11,6,6,2,2,3,0.144,0.132,1.04,0.918,0.479,2274.56,945.04,945.04,3.36,29.84,0.426584,0.58848,10.06983647,67.35024027,2293526.973,6624571.326,30.16,3.36,0.14397024,0
106,110,7,8,10,72,74,7,8,9,72,74,7,8,9,6,6,2,2,2,4,6,15,16,17,2.2,2,0.75,0.65,0.57,1.3,2.36,3.04,3.44,3.98,6.8251,7.864,14.5341,13.6181,17.4228,13.3,19.3,0.00125,0.00143,0.0017,2500.15,3680.15,63.29,50.5,53.63,4876,5828,77.36,90.2,85.03,17,22,8,8,6,6,6,2,2,2,0.144,0.132,1.04,0.918,0.824,2386.56,1014.8,1014.8,3.84,29.84,0.507224,0.860064,16.4637613,67.35417749,2348995.251,6750587.565,38.56,3.84,0.15423744,0
106,110,7,8,0,72,74,7,8,1,72,74,7,8,1,6,6,2,2,1,4,6,15,16,1,2.2,2,0.75,0.65,0.79,1.3,2.36,3.04,3.44,2.2,6.8251,7.864,14.5341,13.6181,13.5984,13.3,19.3,0.00125,0.00143,0.0000899,2500.15,3680.15,63.29,50.5,14.175,4876,5828,77.36,90.2,20.28,17,22,8,8,3,6,6,2,2,1,0.144,0.132,1.04,0.918,14.304,2555.36,1105.04,1105.04,4.64,36.24,0.456536,0.543936,10.58914635,67.35837652,2368433.878,6805811.234,47.44,4.64,30.37316224,0
106,110,7,8,8,72,74,7,8,8,72,74,7,8,8,6,6,2,2,2,4,6,15,16,16,2.2,2,0.75,0.65,0.65,1.3,2.36,3.04,3.44,3.44,6.8251,7.864,14.5341,13.6181,13.6181,13.3,19.3,0.00125,0.00143,0.00143,2500.15,3680.15,63.29,50.5,50.5,4876,5828,77.36,90.2,90.2,17,22,8,8,8,6,6,2,2,2,0.144,0.132,1.04,0.918,0.918,2417.76,1024.96,1024.96,3.84,27.84,0.487,0.657024,10.60741487,67.35488157,2350519.143,6746236.038,34.24,3.84,0.16363744,0
106,50,6,45,0,72,39,6,35,1,72,39,6,35,1,6,5,2,4,1,4,3,14,17,1,2.2,2.3,0.91,1.1,0.79,1.3,1.22,2.55,2.96,2.2,6.8251,6.2173,11.2603,11.8138,13.5984,13.3,4.47,2.27,3.12,0.0000899,2500.15,1799.15,3948.15,266.05,14.175,4876,3609,4300,332,20.28,17,21,7,19,3,6,5,2,4,1,0.144,0.298,0.709,0.474,14.304,1445.44,657.04,657.04,3.44,41.36,0.42684,0.470384,8.439852398,20.89604943,2120462.904,4176653.424,50.24,3.44,30.93894096,0
106,50,6,18,45,72,39,6,17,35,72,39,6,17,35,6,5,2,3,4,4,3,14,17,17,2.2,2.3,0.91,0.97,1.1,1.3,1.22,2.55,3.16,2.96,6.8251,6.2173,11.2603,12.9676,11.8138,13.3,4.47,2.27,0.00321,3.12,2500.15,1799.15,3948.15,172.31,266.05,4876,3609,4300,239.11,332,17,21,7,11,19,6,5,2,3,4,0.144,0.298,0.709,0.479,0.474,1199.2,508.56,508.56,2,38.8,0.383784,0.676976,7.581182206,20.89027016,2017478.687,3956103.945,27.2,2,0.03619496,0
106,50,6,18,0,72,39,6,17,1,72,39,6,17,1,6,5,2,3,1,4,3,14,17,1,2.2,2.3,0.91,0.97,0.79,1.3,1.22,2.55,3.16,2.2,6.8251,6.2173,11.2603,12.9676,13.5984,13.3,4.47,2.27,0.00321,0.0000899,2500.15,1799.15,3948.15,172.31,14.175,4876,3609,4300,239.11,20.28,17,21,7,11,3,6,5,2,3,1,0.144,0.298,0.709,0.479,14.304,1523.2,677.2,677.2,3.44,41.36,0.448264,0.549904,9.516273954,24.33540723,2175843.783,4263323.955,42.56,3.44,30.93352136,0
106,50,6,10,45,72,39,6,9,35,72,39,6,9,35,6,5,2,2,4,4,3,14,17,17,2.2,2.3,0.91,0.57,1.1,1.3,1.22,2.55,3.98,2.96,6.8251,6.2173,11.2603,17.4228,11.8138,13.3,4.47,2.27,0.0017,3.12,2500.15,1799.15,3948.15,53.63,266.05,4876,3609,4300,85.03,332,17,21,7,6,19,6,5,2,2,4,0.144,0.298,0.709,0.824,0.474,1295.84,572.56,572.56,2.56,38.8,0.493544,1.086976,16.37193335,20.8930667,2094018.932,4109798.375,39.2,2.56,0.06327056,0
